6,0,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
14,5,5,3,8,5,5,5,5,5,5,5,5,5,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3
14,4,4,3,8,4,4,4,4,4,4,4,4,4,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3
8,4,4,3,8,4,4,9,9,9,9,4,9,9,9,4,4,4,3,8,9,9,6,7,4,4,8,4,12,3
8,4,4,3,8,4,4,5,5,5,5,4,8,5,5,4,4,4,3,8,5,5,10,11,4,4,8,4,5,3
8,4,4,3,8,4,4,4,4,4,4,4,4,4,4,4,4,4,3,8,4,4,4,4,4,4,8,4,4,3
8,4,4,2,1,4,4,4,4,8,4,4,4,4,4,4,4,4,3,8,4,4,4,4,4,4,8,4,4,3
8,4,4,5,5,4,4,0,0,0,0,0,0,0,0,8,4,4,3,8,4,4,6,7,4,4,8,4,4,3
8,4,4,4,4,4,4,5,5,5,5,5,5,5,5,8,4,4,3,8,4,4,10,11,4,4,8,4,4,3
8,4,4,3,8,4,4,4,4,4,4,4,4,4,4,8,4,4,3,8,4,4,3,8,4,4,8,13,4,3
8,4,4,3,8,4,4,9,9,9,9,9,9,4,4,8,4,4,3,8,4,4,3,8,4,4,8,5,4,3
8,4,4,3,8,4,4,3,4,4,4,4,8,4,4,5,4,4,3,8,4,4,6,7,4,4,8,4,4,3
8,4,4,3,8,4,4,0,0,0,0,0,0,4,4,4,4,4,3,8,4,4,10,11,4,4,8,4,4,3
8,4,4,3,8,4,4,5,5,5,5,5,5,4,4,8,4,4,3,8,4,4,5,5,4,4,8,4,4,3
8,4,4,3,8,4,4,4,4,4,4,4,4,4,4,8,4,4,3,8,4,4,4,4,4,4,8,4,12,3
8,4,4,3,8,9,9,9,9,9,9,4,9,9,9,9,4,4,3,8,4,4,6,7,9,9,8,4,5,3
8,4,4,3,8,5,5,3,5,5,5,4,5,5,5,8,4,4,3,8,4,4,10,11,0,0,8,4,4,3
8,4,4,3,8,4,4,3,4,4,4,4,4,4,4,8,4,4,3,8,4,4,5,5,5,5,8,4,4,3
8,4,4,3,8,4,4,3,4,4,6,0,7,4,4,8,4,4,3,8,4,4,4,4,4,4,8,4,4,3
8,4,4,3,8,4,4,3,4,4,8,4,3,4,4,8,4,4,3,8,4,4,6,7,4,4,8,4,4,3
8,4,4,3,8,4,4,3,4,4,10,9,11,4,4,8,4,4,3,8,4,4,10,11,4,4,8,13,4,3
8,4,4,3,8,4,4,3,4,4,4,4,4,4,4,8,4,4,3,8,4,4,3,8,4,4,8,5,4,3
8,4,4,3,8,4,4,3,4,4,4,4,4,4,4,8,4,4,3,8,4,4,9,9,9,9,8,4,4,3
8,4,4,3,8,4,4,3,4,4,4,4,4,4,4,8,4,4,3,8,4,4,5,5,5,5,8,4,4,3
8,4,4,3,8,4,4,2,0,0,0,4,0,0,0,8,4,4,3,8,4,4,4,4,4,4,8,4,4,3
8,4,4,5,5,4,4,5,5,5,5,4,5,5,5,8,4,4,3,8,4,4,4,4,4,4,8,4,4,3
8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,4,4,3,8,9,9,9,9,4,4,8,4,12,3
8,4,4,3,8,4,4,4,4,4,4,4,4,4,4,5,4,4,3,8,5,5,5,5,4,4,4,4,5,14
8,4,4,3,8,4,4,4,4,4,4,4,4,4,4,4,4,4,3,8,4,4,4,4,4,4,4,4,4,14
10,9,9,11,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,11
